City,Latitude,Longitude,Average High Temperature (degrees Fahrenheit),Average Humidity (%),Average Air Pressure (hectopascals),Average Wind Speed (miles/hour)
Albuquerque,35.0841034,-106.650985,53.464,30.0,1025.4,7.758
Anaheim,33.8347516,-117.911732,73.10799999999999,25.0,1020.0,5.804
Anchorage,61.2163129,-149.894852,22.572,90.4,1004.2,7.781999999999999
Arlington,32.7355816,-97.1071186,66.96000000000001,49.6,1024.6,11.788
Atlanta,33.7489924,-84.3902644,63.338,60.4,1022.2,9.394
Aurora,41.7571701,-88.3147539,39.47,68.2,1021.6,15.254
Austin,30.2711286,-97.7436995,72.144,55.4,1023.8,11.328
Bakersfield,35.3738712,-119.0194639,65.408,54.6,1023.4,5.412000000000001
Baltimore,39.2908816,-76.610759,50.406,70.4,1021.8,11.288
Boise,43.6166163,-116.200886,42.93,82.2,1027.0,8.24
Boston,42.3554334,-71.060511,44.438,68.8,1022.8,11.346
Buffalo,42.8867166,-78.8783922,40.934,77.0,1020.2,15.622
Chandler,33.3061605,-111.84125,72.12,16.6,1020.0,5.306
Charlotte,35.2272086,-80.8430827,59.48,74.4,1021.4,9.07
Chesapeake,36.7183708,-76.2466798,61.814,69.8,1021.6,11.542
Chicago,41.8755616,-87.6244212,40.652,66.2,1021.2,13.994
Chula Vista,32.6400541,-117.0841955,69.498,30.6,1019.8,6.078
Cincinnati,39.1014537,-84.5124602,47.04,78.4,1020.8,9.976
Cleveland,41.4996574,-81.6936772,42.738,81.2,1020.2,16.32
Colorado Springs,38.8339578,-104.825348,48.142,37.6,1020.2,9.097999999999999
Columbus,39.9622601,-83.0007065,45.156,77.6,1020.4,11.187999999999999
Corpus Christi,27.7635302,-97.4033191,74.99600000000001,59.0,1022.6,14.376
Dallas,32.7762719,-96.7968559,66.5,53.2,1024.4,11.36
Denver,39.7392364,-104.984862,52.25599999999999,27.6,1020.2,9.564
Detroit,42.3315509,-83.0466403,39.97,79.4,1020.0,11.068000000000001
Durham,35.996653,-78.9018053,59.922000000000004,68.6,1021.4,9.192
El Paso,31.7865623,-106.441207,60.726,24.4,1023.4,7.378
Fort Wayne,41.0799898,-85.1386015,41.924,79.4,1020.4,14.163999999999998
Fort Worth,32.753177,-97.3327459,67.336,50.0,1024.4,12.812000000000001
Fremont,37.5482697,-121.988571,61.884,53.6,1022.0,4.954
Fresno,36.7394421,-119.7848307,62.67999999999999,61.8,1023.6,5.406000000000001
Garland,32.912624,-96.6388833,65.022,57.0,1024.6,12.803999999999998
Gilbert,33.3527632,-111.7890373,72.384,16.4,1020.0,5.396
Glendale,34.1469416,-118.2478471,74.84,20.2,1020.0,6.004
Greensboro,36.0726355,-79.7919754,57.92999999999999,77.8,1021.2,10.676
Henderson,36.0301134,-114.9826194,65.332,21.6,1023.0,4.316
Honolulu,21.304547,-157.855676,77.648,67.6,1016.6,6.4879999999999995
Houston,29.7589382,-95.3676974,74.912,51.4,1023.4,10.348
Huntsville,34.729847,-86.5859011,57.86800000000001,72.6,1023.2,11.514
Indianapolis,39.7683331,-86.1583502,45.494,71.0,1020.8,10.732000000000001
Irvine,33.6856969,-117.8259819,71.6,30.8,1019.8,6.3260000000000005
Irving,32.8295183,-96.9442177,66.714,50.4,1024.6,11.596
Jacksonville,30.3321838,-81.655651,74.47999999999999,56.6,1020.8,9.516
Jersey City,40.7215682,-74.047455,47.653999999999996,72.0,1023.2,12.888
Kansas City,39.100105,-94.5781416,46.182,47.0,1025.4,14.681999999999999
Laredo,27.5236998,-99.497352,76.814,56.8,1021.8,13.284
Las Vegas,36.1672559,-115.148516,65.098,21.2,1023.0,5.692
Lexington,38.0464066,-84.4970393,49.964,77.4,1021.0,16.274
Lincoln,40.8088861,-96.7077751,43.47,48.6,1025.4,16.866
Long Beach,33.7690164,-118.191604,70.152,35.0,1020.2,6.904000000000001
Los Angeles,34.0536909,-118.242766,73.22999999999999,23.2,1020.0,5.273999999999999
Louisville,38.2542376,-85.759407,50.994,73.2,1021.4,10.745999999999999
Lubbock,33.5635206,-101.879336,60.044000000000004,30.4,1024.2,15.309999999999999
Madison,43.074761,-89.3837613,32.628,72.6,1022.6,16.086000000000002
Memphis,35.1335022,-89.9668758,56.944,69.6,1024.2,12.218
Mesa,33.4151117,-111.8314792,72.23400000000001,16.4,1020.0,5.558
Miami,25.7741728,-80.19362,78.008,70.2,1018.4,15.914000000000001
Milwaukee,43.0349931,-87.922497,35.698,71.8,1021.4,16.880000000000003
Minneapolis,44.9772995,-93.2654692,26.482,80.2,1023.0,11.52
Nashville,36.1622767,-86.7742984,54.626,69.0,1023.0,10.01
New Orleans,29.9759983,-90.0782127,68.962,65.4,1023.8,11.684000000000001
New York,40.7127281,-74.0060152,48.004000000000005,72.8,1023.0,13.774000000000001
Newark,40.735657,-74.1723667,47.178,72.4,1023.2,10.5
Norfolk,36.8448348,-76.2863999,59.476,73.2,1021.6,12.782
North Las Vegas,36.2005843,-115.121584,65.872,20.8,1023.0,5.784
Oakland,37.8044557,-122.271356,58.525999999999996,65.8,1022.0,6.328
Oklahoma City,35.4729886,-97.5170536,55.512,40.0,1025.8,16.07
Omaha,41.2587459,-95.9383758,41.576,46.4,1025.2,17.23
Orlando,28.5421109,-81.3790304,76.91,58.8,1019.8,10.604000000000001
Philadelphia,39.9527237,-75.1635262,50.065999999999995,70.8,1023.0,11.068000000000001
Phoenix,33.4484367,-112.074141,72.05799999999999,16.6,1020.2,3.9939999999999998
Pittsburgh,40.4416941,-79.9900861,46.468,69.6,1020.0,11.674
Plano,33.0136764,-96.6925096,64.602,56.6,1024.6,13.368
Port St. Lucie,27.2939333,-80.3503283,77.29400000000001,66.2,1019.2,13.698000000000002
Portland,45.5202471,-122.674194,52.120000000000005,83.2,1018.6,8.878
Raleigh,35.7803977,-78.6390989,60.934000000000005,66.2,1021.2,10.834
Reno,39.5261206,-119.8126581,48.312,58.4,1024.8,5.754
Richmond,37.5385087,-77.43428,58.160000000000004,68.8,1021.4,9.74
Riverside,33.9533546,-117.3961623,76.26599999999999,18.8,1020.0,6.992
Sacramento,38.5810606,-121.493895,56.4,69.6,1023.0,6.76
Saint Paul,44.9497487,-93.0931028,26.68,81.2,1023.0,11.838
San Antonio,29.4246002,-98.4951405,73.688,54.2,1023.0,12.884
San Diego,32.7174202,-117.1627728,67.73400000000001,35.2,1019.8,6.3660000000000005
San Francisco,37.7790262,-122.419906,56.74400000000001,70.4,1022.4,8.198
San Jose,37.3361663,-121.890591,63.734,50.4,1021.8,6.0600000000000005
Santa Ana,33.7494951,-117.8732213,72.482,27.8,1019.8,6.473999999999999
Scottsdale,33.4942189,-111.9260184,71.846,16.4,1020.0,4.922
Seattle,47.6038321,-122.330062,50.124,88.2,1017.8,9.61
Spokane,47.6571934,-117.42351,38.458000000000006,92.6,1023.8,6.82
St. Louis,38.6319657,-90.2428756,49.838,56.8,1023.8,13.402000000000001
St. Petersburg,59.938732,30.316229,30.084000000000003,93.0,992.2,14.2
Stockton,37.9577016,-121.2907796,58.827999999999996,60.8,1022.6,5.906000000000001
Tampa,27.9477595,-82.458444,74.092,65.2,1019.8,12.530000000000001
Toledo,39.8560679,-4.0239568,55.303999999999995,53.6,1031.4,12.084
Tucson,32.2228765,-110.9748477,75.28399999999999,13.8,1019.2,9.052
Tulsa,36.1563122,-95.9927436,56.586,44.2,1026.0,13.39
Virginia Beach,36.8529841,-75.9774183,58.352,79.0,1021.8,16.29
Washington,38.8950368,-77.0365427,51.763999999999996,71.6,1021.6,11.16
Wichita,37.6922361,-97.3375448,50.58,41.2,1026.0,14.556000000000001
Winston-Salem,36.0998131,-80.2440518,57.577999999999996,74.4,1021.4,10.553999999999998
